Department / Agency / Crown Corporation,Ministère/organisme/société d'État,Program name,Nom de programme,Category,Catégorie,Project name,Nom de projet,Project description,Description du projet,Recipient type,Type de destinataire,Ultimate recipient name,Nom du destinataire final,Program contribution,Estimated total project cost,Contribution du programme,Coût total estimé du projet,Funding date / estimated start date,Funding date / Date de début estimée,Province/Territory,Province/Territoire,Municipality / Community,Municipalité / Communauté,Icon,Latitude,Longitude,Additional information,informations complémentaires,
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport, Service improvement plan, Plan d'amélioration des services,Not Available,Sans objet,Transportation authority,Régie des transports,Réseau de transport de Longueuil (RTL),Réseau de transport de Longueuil (RTL),"$194,800.00","$389,600.00",$194 800,$389 600,Winter 2018,Hiver 2018,Quebec,Québec,Longueuil,Longueuil,Public Transit,45.559188,-73.493187,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,1 hybrid service vehicle ,1 véhicule de service hybride ,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Trois-Rivières (STTR),Société de transport de Trois-Rivières (STTR),"$37,500.00","$75,000.00",$37 500,$75 000,Winter 2018,Hiver 2018,Quebec,Québec,Trois-Rivières,Trois-Rivières,Public Transit,46.340042,-72.553091,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,1 service and maintenance vehicle for the network,1 véhicule de service et d'entretien pour le réseau,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Trois-Rivières (STTR),Société de transport de Trois-Rivières (STTR),"$45,000.00","$90,000.00",$45 000,$90 000,Winter 2018,Hiver 2018,Quebec,Québec,Trois-Rivières,Trois-Rivières,Public Transit,46.340046,-72.553085,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,12 Audible Pedestrian Signal Upgrades,Amélioration de 12 signaux sonores pour piétons,Not Available,Sans objet,Local Government,Administration locale,"London, Corporation of the City of","London, Corporation de la Ville de","$195,000.00","$390,000.00",$195 000,$390 000,Autumn 2017,Automne 2017,Ontario,Ontario,London,London,Public Transit,42.988063,-81.246069,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,17th Avenue SE – BRT - Phase 2,17ème Rue SE – Voie rapide réservée aux autobus – Phase 2,Not Available,Sans objet,Local Government,Administration locale,"Calgary, City of","Calgary, Ville de","$42,500,000.00","$85,000,000.00",$42 500 000,$85 000 000,Autumn 2016,Automne 2016,Alberta,Alberta,Calgary,Calgary,Public Transit,51.037758,-113.993029,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,2017 Hoist Installation,Installation d’un élévateur en 2017,Not Available,Sans objet,Local Government,Administration locale,"Kingston, City of","Kingston, Ville de","$89,000.00","$178,000.00",$89 000,$178 000,Summer 2017,&Eacute;té 2017,Ontario,Ontario,Kingston,Kingston,Public Transit,44.260883,-76.506797,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,2017-2018 Bus Stop Infrastructure Upgrades and Shelter Installation at multiple bus stops,2017-2018 Amélioration des infrastructures d’arrêt d’autobus et installation d’abribus à plusieurs arrêts d’autobus,Not Available,Sans objet,Local Government,Administration locale,"Kingston, City of","Kingston, Ville de","$382,725.50","$765,451.00","$382 725,50",$765 451,Spring 2017,Printemps 2017,Ontario,Ontario,Kingston,Kingston,Public Transit,44.260883,-76.506799,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,2018 Expansion Bus Procurement: The expansion of Kingston Transit fleet by 7 conventional transit buses.,Acquisition de nouveaux autobus en 2018 : Ajout de sept autobus de transport en commun conventionnels au parc de Kingston Transit,Not Available,Sans objet,Local Government,Administration locale,"Kingston, City of","Kingston, Ville de","$1,956,288.50","$3,912,577.00","$1 956 288,50",$3 912 577,Winter 2017,Hiver 2017,Ontario,Ontario,Kingston,Kingston,Public Transit,44.260883,-76.506799,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,2018 Replacement Bus Procurement: Replacement of 3 conventional transit buses (3 x 12m/40ft buses),2018 - Achat d'autobus de remplacement : remplacement de trois autobus de transport en commun traditionnels (trois autobus de 12 mètres/40 pieds,Not Available,Sans objet,Local Government,Administration locale,"Kingston, City of","Kingston, Ville de","$738,862.50","$1,477,725.00","$738 862,50",$1 477 725,Winter 2017,Hiver 2017,Ontario,Ontario,Kingston,Kingston,Public Transit,44.260883,-76.5068,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,2018 Replacement Bus Procurement: Replacement of 8 conventional transit buses (8 x 12m/40ft buses),2018 - Achat d'autobus de remplacement : remplacement de huit autobus de transport en commun traditionnels (huit autobus de 12 mètres/40 pieds,Not Available,Sans objet,Local Government,Administration locale,"Kingston, City of","Kingston, Ville de","$1,985,420.00","$3,970,840.00",$1 985 420,$3 970 840,Winter 2017,Hiver 2017,Ontario,Ontario,Kingston,Kingston,Public Transit,44.260882,-76.506799,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,2019 buses (via the 2018 bus order - 11 with options),Autobus 2019 (via la commande des autobus 2018 - 11 avec options),Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Laval (STL),Société de transport de Laval (STL),"$4,930,500.00","$9,861,000.00",$4 930 500,$9 861 000,Autumn 2017,Automne 2017,Quebec,Québec,Laval,Laval,Public Transit,45.582532,-73.726333,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,2019 buses (via the 2018 bus order - 12 with contract extension),Autobus 2019 (via la commande des autobus 2018 - 12 avec prolongation de contrat),Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Laval (STL),Société de transport de Laval (STL),"$5,378,727.00","$10,757,454.00",$5 378 727,$10 757 454,Winter 2018,Hiver 2018,Quebec,Québec,Laval,Laval,Public Transit,45.582367,-73.726237,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,2019 Replacement Bus Procurement: Replacement of 4 urban transit buses.,Acquisition d’autobus de remplacement en 2019 : Remplacement de quatre autobus de transport en commun urbains,Not Available,Sans objet,Local Government,Administration locale,"Kingston, City of","Kingston, Ville de","$983,827.00","$2,155,084.00",$983 827,$2 155 084,Winter 2017,Hiver 2017,Ontario,Ontario,Kingston,Kingston,Public Transit,44.260883,-76.506799,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,226 Automated Passenger Counters,226 compteurs automatiques de passagers,Not Available,Sans objet,Local Government,Administration locale,"Hamilton, City of","Hamilton, Ville d'","$1,100,000.00","$2,200,000.00",$1 100 000,$2 200 000,Spring 2017,Printemps 2017,Ontario,Ontario,Hamilton,Hamilton,Public Transit,43.185128,-79.903089,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,3 diesel urban midibuses,3  Midibus urbains diesel,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Trois-Rivières (STTR),Société de transport de Trois-Rivières (STTR),"$783,500.00","$1,567,000.00",$783 500,$1 567 000,Autumn 2017,Automne 2017,Quebec,Québec,Trois-Rivières,Trois-Rivières,Public Transit,46.340043,-72.553086,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,3 New 30 foot Buses,Trois nouveaux autobus de 30 pieds,Not Available,Sans objet,Local Government,Administration locale,"St. John's, City of","St. John's, Ville de","$544,101.00","$1,088,202.00",$544 101,$1 088 202,Autumn 2016,Automne 2016,Newfoundland and Labrador,Terre-Neuve-et-Labrador,St. John's,St. John's,Public Transit,47.558586,-52.785145,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,4 electric minibuses (regular transit),4 minibus électriques (transport régulier),Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Montréal (STM),Société de transport de Montréal (STM),"$3,229,705.00","$6,459,410.00",$3 229 705,$6 459 410,Winter 2018,Hiver 2018,Quebec,Québec,Montréal,Montréal,Public Transit,45.499481,-73.565703,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,400 Wheel-Trans Buses,400 autobus Wheel-Trans (transport adapté),Not Available,Sans objet,Local Government,Administration locale,"Toronto, City of","Toronto, Ville de","$10,734,500.00","$21,469,000.00",$10 734 500,$21 469 000,Winter 2017,Hiver 2017,Ontario,Ontario,Toronto,Toronto,Public Transit,43.655542,-79.330212,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,7 electric minibuses (paratransit),7 minibus électriques (transport adapté),Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Montréal (STM),Société de transport de Montréal (STM),"$1,765,585.00","$3,531,170.00",$1 765 585,$3 531 170,Spring 2018,Printemps 2018,Quebec,Québec,Montréal,Montréal,Public Transit,45.499481,-73.565699,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,A tracking system of parts for anti-pollution of buses,Système de suivi des pièces pour antipollution des autobus,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Laval (STL),Société de transport de Laval (STL),"$16,000.00","$32,000.00",$16 000,$32 000,Spring 2019,Printemps 2019,Quebec,Québec,Laval,Laval,Public Transit,45.582179,-73.726516,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Abbotsford O&M CNG Facility,Installation E et E de GNC à Abbotsford,Not Available,Sans objet,Transportation authority,Régie des transports,BC Transit,BC Transit,"$13,400,000.00","$26,800,000.00",$13 400 000,$26 800 000,Summer 2018,&Eacute;té 2018,British Columbia,Colombie-Britannique,Abbotsford,Abbotsford,Public Transit,48.440343,-123.371213,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Accelerated Bus Fleet Rebuild Program,Programme de rétablissement accéléré de la flotte d’autobus ,Not Available,Sans objet,Local Government,Administration locale,"Greater Sudbury, City of","Grand Sudbury, Ville de","$675,000.00","$1,350,000.00",$675 000,$1 350 000,Spring 2017,Printemps 2017,Ontario,Ontario,Greater Sudbury,Grand Sudbury,Public Transit,46.469993,-81.032845,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Access to Saint-Hubert station terminal via Patrick Street and the Vauquelin reserved lane,Accès au terminus de la gare de Saint-Hubert via la rue Patrick et VR Vauquelin,Not Available,Sans objet,Transportation authority,Régie des transports,Réseau de transport de Longueuil (RTL),Réseau de transport de Longueuil (RTL),"$706,500.00","$1,413,000.00",$706 500,$1 413 000,Winter 2019,Hiver 2019,Quebec,Québec,Longueuil,Longueuil,Public Transit,45.509592,-73.436197,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Accessibility for Ontarians with Disabilities Act (AODA) Enhancements of Intersections,Amélioration des intersections en vertu de la Loi sur l’accessibilité pour les personnes handicapées de l’Ontario (LAPHO),Not Available,Sans objet,Local Government,Administration locale,"Ottawa, City of","Ottawa, Ville d'","$1,500,000.00","$3,000,000.00",$1 500 000,$3 000 000,Summer 2017,&Eacute;té 2017,Ontario,Ontario,Ottawa,Ottawa,Public Transit,45.345627,-75.763845,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,"Accessibility Improvements on Routes 1, 2, 3 & 5","Améliorations de l’accessibilité sur les routes 1, 2, 3 et 5",Not Available,Sans objet,Local Government,Administration locale,"St. John's, City of","St. John's, Ville de","$453,418.00","$906,835.00",$453 418,$906 835,Spring 2017,Printemps 2017,Newfoundland and Labrador,Terre-Neuve-et-Labrador,St. John's,St. John's,Public Transit,47.561412,-52.712551,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Accessibility Improvements to Sidewalks,Améliorations de l’accessibilité aux trottoirs,Not Available,Sans objet,Local Government,Administration locale,"St. Mary's, Town of","St. Mary's, Ville de","$67,500.00","$135,000.00",$67 500,$135 000,Summer 2017,&Eacute;té 2017,Ontario,Ontario,St. Marys,St. Marys,Public Transit,43.259858,-81.140518,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Accessibility Upgrades in Transit Terminal ,Mise à niveau de l’accessibilité dans le terminal de transport en commun,Not Available,Sans objet,Local Government,Administration locale,"Owen Sound, Corporation of the City of","Owen Sound, Corporation de la Ville d'","$7,500.00","$15,000.00",$7 500,$15 000,Autumn 2017,Automne 2017,Ontario,Ontario,Owen Sound,Owen Sound,Public Transit,44.568288,-80.941319,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Accessible Bus Purchase,Achat d’un autobus accessible par fauteuil roulant.,Not Available,Sans objet,Local Government,Administration locale,"Cape Breton, Regional Municipality of","Cape Breton, Municipalité Régionale de","$47,244.00","$94,488.00",$47 244,$94 488,Winter 2017,Hiver 2017,Nova Scotia,Nouvelle-Écosse,Cape Breton,Cape Breton,Public Transit,46.13766548,-60.19561341,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Accessible Bus Stop Improvements & Shelter Upgrades at multiple bus stops,Améliorations apportées aux arrêts d’autobus (accessibilité et mise à niveau des abribus à plusieurs arrêts,Not Available,Sans objet,Local Government,Administration locale,"Thunder Bay, Corporation of the City of","Thunder Bay, Corporation de la Ville de","$170,000.00","$340,000.00",$170 000,$340 000,Spring 2017,Printemps 2017,Ontario,Ontario,Thunder Bay,Thunder Bay,Public Transit,48.416821,-89.236929,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Accessible Bus Stop Upgrades,Améliorations des arrêts d’autobus accessibles ,Not Available,Sans objet,Local Government,Administration locale,"Medicine Hat, City of","Medicine Hat, Ville de","$167,500.00","$335,000.00",$167 500,$335 000,Summer 2017,&Eacute;té 2017,Alberta,Alberta,Medicine Hat,Medicine Hat,Public Transit,50.025385,-110.674318,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Accessible Pedestrian Signals Expansion,Développement du système de signalisation d'accessibilité pour les piétons,Not Available,Sans objet,Local Government,Administration locale,"Toronto, City of","Toronto, Ville de","$750,000.00","$1,500,000.00",$750 000,$1 500 000,Spring 2017,Printemps 2017,Ontario,Ontario,Toronto,Toronto,Public Transit,43.709017,-79.33321,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Accessible transit fleet replacement,Remplacement de la flotte de véhicules de transport en commun accessibles,Not Available,Sans objet,Local Government,Administration locale,"St. Thomas, City of","St. Thomas, Ville de","$300,000.00","$600,000.00",$300 000,$600 000,Winter 2017,Hiver 2017,Ontario,Ontario,St. Thomas,St. Thomas,Public Transit,42.778773,-81.190282,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Accessible Transit Stop Upgrades of up to 10-12 new accessible transit stops ,Construction de 10 à 12 nouveaux arrêts de transport en commun accessible ,Not Available,Sans objet,Local Government,Administration locale,"Peterborough, City of","Peterborough, Ville de","$50,000.00","$106,200.00",$50 000,$106 200,Summer 2017,&Eacute;té 2017,Ontario,Ontario,Peterborough,Peterborough,Public Transit,44.297343,-78.320264,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition and replacement of 3 buses for 2018,Acquisition et remplacement de 3 autobus 2018,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Laval (STL),Société de transport de Laval (STL),"$1,346,400.00","$2,692,800.00",$1 346 400,$2 692 800,Spring 2017,Printemps 2017,Quebec,Québec,Laval,Laval,Public Transit,45.559185,-73.493186,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition de 35 bus hybrides 12 mètres - 2018,Acquisition de 35 bus hybrides 12 mètres - 2018,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Montréal (STM),Société de transport de Montréal (STM),"$15,938,000.00","$31,876,000.00",$15 938 000,$31 876 000,Spring 2017,Printemps 2017,Quebec,Québec,Montréal,Montréal,Public Transit,45.538391,-73.571223,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of 1 hybrid bus and 4 midibuses for 2018,Acquisition de 1 autobus hybride et de 4 midibus pour 2018 ,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Lévis (STL),Société de transport de Lévis (STL),"$1,503,000.00","$3,006,000.00",$1 503 000,$3 006 000,Spring 2017,Printemps 2017,Quebec,Québec,Lévis,Lévis,Public Transit,46.805059,-71.159641,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
Infrastructure Canada,Infrastructure Canada,Public Transit Infrastructure Fund,Fonds pour les infrastructures du transport en commun,Mitigation - Transportation,Atténuation - transport,Acquisition of 107 12-meter hybrid buses - 2017,Acquisition de 107 bus hybrides 12 mètres - 2017,Not Available,Sans objet,Transportation authority,Régie des transports,Société de transport de Montréal (STM),Société de transport de Montréal (STM),"$48,150,000.00","$96,300,000.00",$48 150 000,$96 300 000,Autumn 2016,Automne 2016,Quebec,Québec,Montréal,Montréal,Public Transit,45.538391,-73.571222,"<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-eng.php"">Program website</a>","<a target=""_blank"" href=""https://www.infrastructure.gc.ca/plan/ptif-fitc-fra.php"">Site web du programme</a>",
